balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count,plan_player_relativePlaytime_totalmonth,plan_player_relativePlaytime_weekmonth,plan_player_relativePlaytime_dayweek,balance_change,lw_rev_total_change,lw_rev_phase_change,leaderboard_position_chems_all_change,leaderboard_position_chems_week_change,leaderboard_position_police_all_change,leaderboard_position_police_week_change,chemrank_change,policerank_change,donorrank_change,goldrank_change,churn
234464.59,0.0,0.0,397.0,0.0,0.0,0.0,55, 9, 0, 0, 0, 0, 2, 0, 16, 0, 10, 0, 0, 5, 2, 0, 0, 0, 16,0.0,0.0,0.0,0.0,0.0,17121788.0,17121788.0,0.0,0.0,0.0,1005821.0,Town,1135283.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7379134.76,4609943.0,1949271.0,49.0,0.0,0.0,0.0,7944, 370, 314, 0, 76, 0, 627, 1218, 2789, 0, 1743, 59, 638, 901, 612, 0, 0, 1, 135,89.0,0.0,4.0,0.0,14.0,4093247701.0,660191390.0,11785829.0,0.0,2254604626.0,3397854.0,Underworld-B,191940.0,2923.0,6.200092523169682,0.017852139816606816,0.0,479832.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
85594.92,0.0,0.0,619.0,0.0,0.0,0.0,200, 16, 0, 0, 0, 0, 7, 6, 26, 0, 73, 0, 3, 36, 62, 0, 0, 0, 10,5.0,0.0,0.0,0.0,0.0,34310766.0,34310766.0,3250840.0,0.0,2133123.0,1758577.0,Underworld-A,513803.0,56.0,1.0,0.09474693744814675,0.0,84042.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18787467.14,6450923.0,1258671.0,42.0,19.0,39.0,0.0,6589, 936, 2, 0, 434, 0, 126, 459, 3109, 0, 688, 2, 230, 345, 827, 0, 0, 1, 5,117.0,0.0,3.0,0.0,7.0,1221420428.0,184877097.0,6969254.0,4866420.0,171541585.0,89296.0,Underworld-B,137040.0,3272.0,6.606661656960137,0.03769668668044912,0.6982698578642706,6255849.41,0.0,0.0,2.0,19.0,1.0,0.0,117.0,0.0,0.0,0.0,3.0
29756.24,0.0,0.0,710.0,0.0,0.0,0.0,308, 5, 0, 0, 0, 0, 48, 0, 85, 0, 163, 0, 0, 81, 2, 0, 0, 0, 5,3.0,0.0,0.0,0.0,0.0,42174170.0,42174170.0,42174170.0,3372560.0,2458486.0,1044819.0,Town,127500.0,42.0,1.0,1.0,0.0799674303015329,35382.56999999999,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,235088.0,235088.0,235088.0,0.0,0.0,102268.0,Spawn,211500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
108.64,0.0,0.0,913.0,0.0,0.0,0.0,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,741766.0,741766.0,0.0,0.0,0.0,151101.0,Spawn,1042043.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,334299.0,0.0,0.0,0.0,0.0,23224.0,Spawn,3311963.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,653530.0,606584.0,598139.0,0.0,0.0,541739.0,Town,168180.0,5.0,1.0773940624876357,0.9860777732350342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6689609.59,3222840.0,1663480.0,86.0,0.0,0.0,0.0,3441, 61, 41, 69, 3, 0, 137, 440, 1826, 0, 700, 3, 221, 351, 149, 0, 0, 0, 12,39.0,0.0,0.0,0.0,0.0,481216625.0,81654148.0,0.0,0.0,65178552.0,1460788.0,Town,886583.0,1311.0,5.893351860091664,0.0,0.0,3126978.2699999996,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
